year,agegroup,headship1,headship2,headship3
1989,18-24,.32583886,.382148,.32583886
1992,18-24,.2997745,.35654527,.2997745
1995,18-24,.32579944,.32579944,.30282831
1998,18-24,.30973282,.30973282,.28477544
2001,18-24,.33589098,.33589098,.3023977
2004,18-24,.32563919,.32563919,.29178628
2007,18-24,.32038337,.32038337,.28000009
2010,18-24,.28681272,.28681272,.24976815
2013,18-24,.2786071,.2786071,.24120085
2016,18-24,.2736007,.2736007,.2390604
2019,18-24,.27991652,.27991652,.24027252
2022,18-24,.28103316,.28103316,.23367576
1989,25-34,.78946793,.83476681,.78946793
1992,25-34,.76174563,.8125366,.76174563
1995,25-34,.78292924,.78292924,.75612682
1998,25-34,.79125535,.79125535,.75925946
2001,25-34,.79126835,.79126835,.75356561
2004,25-34,.78826296,.78826296,.74447912
2007,25-34,.77902502,.77902502,.73402852
2010,25-34,.76304001,.76304001,.70709991
2013,25-34,.7525391,.7525391,.69216609
2016,25-34,.72193694,.72193694,.65623611
2019,25-34,.72197437,.72197437,.65342063
2022,25-34,.74136978,.74136978,.66054839
1989,35-44,.91203099,.93154329,.91203099
1992,35-44,.89815253,.92076313,.89815253
1995,35-44,.89226526,.89226526,.8762961
1998,35-44,.88545024,.88545024,.86891842
2001,35-44,.89804423,.89804423,.87424427
2004,35-44,.88371474,.88371474,.85873902
2007,35-44,.88488537,.88488537,.85828149
2010,35-44,.88238186,.88238186,.84879476
2013,35-44,.87776041,.87776041,.84102935
2016,35-44,.87362117,.87362117,.83603811
2019,35-44,.86497468,.86497468,.82583714
2022,35-44,.85619205,.85619205,.81417131
1989,45-54,.9337346,.94521052,.9337346
1992,45-54,.92783868,.94364923,.92783868
1995,45-54,.93429947,.93429947,.92652696
1998,45-54,.92490739,.92490739,.91247129
2001,45-54,.91691321,.91691321,.9028272
2004,45-54,.91184032,.91184032,.89404565
2007,45-54,.89697558,.89697558,.87769407
2010,45-54,.89839792,.89839792,.87345707
2013,45-54,.89468497,.89468497,.86586475
2016,45-54,.88169879,.88169879,.8543514
2019,45-54,.87881279,.87881279,.84987891
2022,45-54,.87379998,.87379998,.84220976
1989,55-64,.94507778,.95250916,.94507778
1992,55-64,.94225156,.95116705,.94225156
1995,55-64,.94090921,.94090921,.93614197
1998,55-64,.92905414,.92905414,.92224771
2001,55-64,.92001504,.92001504,.91092807
2004,55-64,.93809271,.93809271,.92777747
2007,55-64,.93664235,.93664235,.92671955
2010,55-64,.91791564,.91791564,.90359259
2013,55-64,.92302603,.92302603,.90545857
2016,55-64,.91475207,.91475207,.89685029
2019,55-64,.91352057,.91352057,.891985
2022,55-64,.89125896,.89125896,.86956608
1989,65+,.91715014,.9205094,.91715014
1992,65+,.9186008,.92372829,.9186008
1995,65+,.92739612,.92739612,.92607129
1998,65+,.91974324,.91974324,.91738588
2001,65+,.92351568,.92351568,.9214564
2004,65+,.92245322,.92245322,.91880417
2007,65+,.92004454,.92004454,.91438055
2010,65+,.91843134,.91843134,.91183901
2013,65+,.91775435,.91775435,.9099462
2016,65+,.92165929,.92165929,.91391903
2019,65+,.92368358,.92368358,.91335523
2022,65+,.91441625,.91441625,.90337843
