year,ownhh_scf,ownhh_cps,ownp1_cps,ownp2_cps,ownp3_cps,ratio_ownhh,ratio1_owncps,ratio1,ratio2,ratio3
1989,.63872188,.64030039,.55779827,.56466329,.55779827,.99753475,.87115091,.87330383,.88405192,.87330383
1992,.6392892,.64098287,.55382341,.5619368,.55382341,.99735773,.8640222,.86631125,.87900251,.86631125
1995,.64743173,.64731181,.56312531,.56312531,.55785573,1.0001853,.86994445,.86978328,.86978328,.86164409
1998,.66266555,.66243225,.57405454,.57405454,.56648886,1.0003521,.86658603,.86628097,.86628097,.85486394
2001,.67688239,.67792344,.58837146,.58837146,.57900834,.99846435,.86790252,.86923736,.86923736,.85540468
2004,.69052768,.68856251,.59472215,.59472215,.58387202,1.002854,.86371553,.86125749,.86125749,.8455447
2007,.68636125,.68369263,.58821666,.58821666,.57684767,1.0039033,.86035252,.85700738,.85700738,.84044325
2010,.67286932,.67027384,.56854618,.56854618,.55541784,1.0038723,.84822971,.84495777,.84495777,.82544678
2013,.65152311,.6492877,.55050445,.55050445,.53614825,1.0034429,.84785903,.84494996,.84494996,.82291514
2016,.63718563,.63544512,.53676796,.53676796,.52294511,1.0027391,.84471178,.84240437,.84240437,.82071078
2019,.64898628,.64562887,.54521602,.54521602,.52979177,1.0052003,.84447283,.8401041,.8401041,.81633741
2022,.66050011,.65504974,.55226684,.55226684,.53454268,1.0083206,.84309143,.83613437,.83613437,.80929989
