year,agegroup_alt,ownhh_scf,ownhh_cps,ownp1_cps,ownp2_cps,ownp3_cps,ratio_ownhh,ratio1_owncps,ratio1,ratio2,ratio3
1989,18-24,.11733571,.17253557,.077409126,.084594384,.077409126,.68006676,.44865605,.65972352,.72096026,.65972352
1992,18-24,.15924045,.14068128,.06168218,.068876281,.06168218,1.1319236,.43845335,.38735244,.43253005,.38735244
1995,18-24,.18495362,.14146806,.061544068,.061544068,.0577657,1.3073877,.4350386,.33275408,.33275408,.31232533
1998,18-24,.14531377,.17263196,.0695213,.0695213,.065138601,.84175473,.40271395,.47842199,.47842199,.44826174
2001,18-24,.13937283,.21049939,.082029775,.082029775,.07573618,.66210562,.38969126,.58856362,.58856362,.54340708
2004,18-24,.17282517,.22738239,.083567269,.083567269,.076773725,.76006401,.36751863,.48353645,.48353645,.44422767
2007,18-24,.12158646,.23438121,.081452467,.081452467,.072647974,.51875514,.34752131,.66991395,.66991395,.5975005
2010,18-24,.14525199,.20919478,.064744338,.064744338,.057562843,.6943385,.30949309,.44573805,.44573805,.39629641
2013,18-24,.1362035,.19846134,.058436479,.058436479,.050945263,.68629736,.29444766,.42903802,.42903802,.37403786
2016,18-24,.11150257,.19729675,.0593182,.0593182,.051780503,.56515157,.30065471,.53198957,.53198957,.46438846
2019,18-24,.16747516,.21587971,.06437254,.06437254,.0557888,.77578002,.29818708,.38437065,.38437065,.33311686
2022,18-24,.17385036,.25175023,.074862994,.074862994,.063070364,.69056684,.29737011,.43061742,.43061742,.36278537
1989,25-39,.51058948,.51463032,.48558331,.49631602,.48558331,.9921481,.9435575,.95102489,.97204512,.95102489
1992,25-39,.4812564,.49656692,.45750627,.46980336,.45750627,.96916723,.92133862,.95064974,.97620183,.95064974
1995,25-39,.49389538,.51451445,.47450405,.47450405,.46606839,.95992517,.92223662,.960738,.960738,.94365811
1998,25-39,.52042067,.52496552,.48200589,.48200589,.47025198,.99134254,.91816676,.92618513,.92618513,.90359974
2001,25-39,.53364956,.54383451,.49646097,.49646097,.48224777,.98127198,.91288978,.93031269,.93031269,.90367877
2004,25-39,.54142046,.55336118,.49803674,.49803674,.48162913,.97842145,.90002114,.91987056,.91987056,.88956583
2007,25-39,.55903691,.5379402,.48197502,.48197502,.4655979,1.0392176,.89596391,.8621524,.8621524,.83285719
2010,25-39,.50544256,.50031048,.4399358,.4399358,.42077556,1.0102578,.87932557,.87039721,.87039721,.83248937
2013,25-39,.47616062,.4596149,.40130576,.40130576,.3813507,1.0359991,.87313479,.84279495,.84279495,.80088669
2016,25-39,.44880369,.44003367,.37246189,.37246189,.35309407,1.0199304,.84643948,.82989931,.82989931,.78674501
2019,25-39,.47215042,.46358666,.39200598,.39200598,.36976776,1.0184728,.84559375,.83025658,.83025658,.78315669
2022,25-39,.49491242,.48870501,.41753414,.41753414,.38957238,1.0127017,.85436845,.84365261,.84365261,.7871542
1989,40-54,.73865753,.73492259,.73068142,.73634088,.73068142,1.0050821,.99422908,.9892019,.99686372,.9892019
1992,40-54,.73317063,.72353077,.71708018,.72478509,.71708018,1.0133233,.99108458,.97805363,.98856264,.97805363
1995,40-54,.73080981,.72517997,.71296811,.71296811,.70723826,1.0077634,.98316026,.97558641,.97558641,.96774596
