year,agegroup,ownhh_scf,ownhh_cps,ownp1_cps,ownp2_cps,ownp3_cps,ratio_ownhh,ratio1_owncps,ratio1,ratio2,ratio3
1989,18-24,.11733571,.17253557,.077409126,.084594384,.077409126,.68006676,.44865605,.65972352,.72096026,.65972352
1992,18-24,.15924045,.14068128,.06168218,.068876281,.06168218,1.1319236,.43845335,.38735244,.43253005,.38735244
1995,18-24,.18495362,.14146806,.061544068,.061544068,.0577657,1.3073877,.4350386,.33275408,.33275408,.31232533
1998,18-24,.14531377,.17263196,.0695213,.0695213,.065138601,.84175473,.40271395,.47842199,.47842199,.44826174
2001,18-24,.13937283,.21049939,.082029775,.082029775,.07573618,.66210562,.38969126,.58856362,.58856362,.54340708
2004,18-24,.17282517,.22738239,.083567269,.083567269,.076773725,.76006401,.36751863,.48353645,.48353645,.44422767
2007,18-24,.12158646,.23438121,.081452467,.081452467,.072647974,.51875514,.34752131,.66991395,.66991395,.5975005
2010,18-24,.14525199,.20919478,.064744338,.064744338,.057562843,.6943385,.30949309,.44573805,.44573805,.39629641
2013,18-24,.1362035,.19846134,.058436479,.058436479,.050945263,.68629736,.29444766,.42903802,.42903802,.37403786
2016,18-24,.11150257,.19729675,.0593182,.0593182,.051780503,.56515157,.30065471,.53198957,.53198957,.46438846
2019,18-24,.16747516,.21587971,.06437254,.06437254,.0557888,.77578002,.29818708,.38437065,.38437065,.33311686
2022,18-24,.17385036,.25175023,.074862994,.074862994,.063070364,.69056684,.29737011,.43061742,.43061742,.36278537
1989,25-34,.46393481,.45236027,.4195196,.43135148,.4195196,1.025587,.92740154,.90426415,.92976743,.90426415
1992,25-34,.4179616,.42539996,.3851805,.39795381,.3851805,.98251444,.90545493,.92156911,.95213008,.92156911
1995,25-34,.43175182,.44793642,.40364078,.40364078,.39534295,.96386856,.90111178,.93489075,.93489075,.91567177
1998,25-34,.45695782,.45938611,.41268635,.41268635,.39988372,.99471402,.89834309,.90311694,.90311694,.87509984
2001,25-34,.48403138,.47463855,.42290008,.42290008,.40846327,1.0197895,.89099395,.87370384,.87370384,.84387767
2004,25-34,.49866945,.49085322,.42966595,.42966595,.41269186,1.0159237,.87534511,.86162478,.86162478,.827586
2007,25-34,.50116861,.47541693,.41433018,.41433018,.39678639,1.0541666,.87150913,.82672811,.82672811,.79172236
2010,25-34,.44837502,.43278402,.36876512,.36876512,.3490923,1.0360249,.85207653,.82244796,.82244796,.77857214
2013,25-34,.42516515,.41330382,.34611589,.34611589,.32544377,1.0286988,.83743691,.81407398,.81407398,.76545262
2016,25-34,.40185916,.38340205,.30864456,.30864456,.28830963,1.0481404,.80501544,.76804161,.76804161,.71743947
2019,25-34,.42069188,.40290612,.32367417,.32367417,.30029717,1.0441437,.80334884,.76938534,.76938534,.71381736
2022,25-34,.44613791,.43205738,.35626987,.35626987,.32556745,1.0325894,.82458925,.79856443,.79856443,.72974622
1989,35-44,.66098082,.67135084,.66537863,.67311674,.66537863,.98455352,.99110419,1.0066534,1.0183605,1.0066534
1992,35-44,.64474052,.65543842,.64266199,.65194964,.64266199,.98367822,.98050702,.99677616,1.0111815,.99677616
1995,35-44,.64711565,.65166557,.63372409,.63372409,.62553751,.99301803,.97246826,.9793058,.9793058,.9666549
