year,ownhh_scf,ownhh_cps,ownp1_cps,ownp2_cps,ownp3_cps,ratio_ownhh,ratio1_owncps,ratio1,ratio2,ratio3
1989,.61281449,.60876316,.58276093,.59148216,.58276093,1.006655,.95728678,.95095813,.96518958,.95095813
1992,.59569788,.60013139,.566149,.57652408,.566149,.99261242,.94337505,.95039618,.9678129,.95039618
1995,.60895777,.61485398,.58038843,.58038843,.57315415,.99041039,.94394517,.95308489,.95308489,.94120508
1998,.6297065,.63040441,.59229511,.59229511,.58194453,.9988929,.93954784,.94058919,.94058919,.92415202
2001,.65173393,.64978117,.61019927,.61019927,.59760714,1.0030053,.93908429,.93627053,.93627053,.91694957
2004,.66247487,.65861648,.61154526,.61154526,.59696615,1.0058583,.92853016,.92312223,.92312223,.90111518
2007,.65639567,.64943391,.59943688,.59943688,.58462554,1.0107198,.92301446,.91322494,.91322494,.89066029
2010,.62688655,.62185162,.56840861,.56840861,.55072212,1.0080967,.91405827,.90671688,.90671688,.87850368
2013,.58705956,.58398956,.53254294,.53254294,.51348603,1.0052569,.91190493,.90713614,.90713614,.8746745
2016,.5644027,.55942446,.50116068,.50116068,.4828234,1.0088989,.89585048,.88794875,.88794875,.85545903
2019,.58031356,.57068634,.50582343,.50582343,.48558444,1.0168695,.88634229,.87163812,.87163812,.83676219
2022,.59101874,.58524263,.52057129,.52057129,.49638054,1.0098696,.88949656,.88080335,.88080335,.83987278
